,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,1841354532516359424,316.2425392695487,25.32035169417252,4.303287341252359,-4.871884863011486,1.889125863938489,16.413528,0.94
1,1839564351491021568,314.22759184651284,23.58044341709685,4.223053723259927,-4.810222062051271,1.80851222489893,12.422966,1.0
2,1843136119312789632,311.27158779053246,23.791544015056974,4.370499637925191,-4.83274390600838,1.8301365410422987,10.518966,1.0
3,1843136222392003456,311.28796660224606,23.80191035063427,4.419830156782154,-4.790474196623545,1.8476039543563685,15.797057,1.0
4,1843140409981969536,311.1257123889367,23.871109514201148,4.236300448666697,-4.818606887787745,1.9084350611477827,8.383275,0.96
5,1843140654798304640,311.2167079000934,23.887157157438157,4.129064285550946,-4.510017568278917,1.824776842076165,14.584557,1.0
6,1843141341993171968,311.0696417977496,23.89001449195495,4.28198300608994,-4.587125379805979,1.8072185947772368,16.880335,0.9
7,1843141681293894272,311.1334391062868,23.90912643879341,4.023759465239698,-4.7803981037430905,1.899063266539463,14.058818,0.98
8,1843142093611038208,311.1282940673888,23.95916761343972,3.895145804414924,-4.669491070595758,1.893309905518081,16.473248,0.49
9,1843142338425433728,311.318139669485,23.846381462192152,4.387801803249986,-4.734123452635873,1.8795777160646856,11.056073,1.0
10,1842459610422656768,312.5658236980422,24.124905475881263,4.283698423706145,-4.8076820857695886,1.897994752191472,15.999099,0.95
11,1842463321274413696,312.60276031674783,24.204346469233364,4.144587299512143,-4.959953204111686,1.8624914216665456,14.896188,0.97
12,1843146113696239616,311.4262268657129,24.00112122873248,4.324881597702327,-4.767938337156481,1.8984111337186904,16.67576,0.91
13,1843148484522653056,311.21358282749964,24.00562961038518,4.174578216520096,-4.598427873001896,1.9194270551280703,17.836773,0.63
14,1843148591898871296,311.2175508599103,24.02698852058416,4.183248019126832,-4.776756128010313,1.89804675540482,16.769499,0.88
15,1843149519611815424,311.3675950659399,24.06485886996655,4.140223602351388,-4.689519145691115,1.7869389265477325,15.490853,0.99
16,1843150584763887744,311.3135528836045,24.087510529006387,4.062063232681341,-4.4484063728444925,1.8077890674153287,13.282202,1.0
17,1842470910478843392,311.7547046808814,23.822489812831076,4.118532344946652,-4.590054027520315,1.920897184597047,17.802055,0.63
18,1843154158170188672,311.07978695476646,23.993339215290085,4.350719102765216,-4.791267355326852,1.8801390159044928,16.072573,0.99
19,1843154948450219264,311.08130147186506,24.014075180825703,4.235615887351512,-4.674657915663091,1.8685695217786,15.107319,1.0
20,1843155326406815616,310.8692501017452,23.892265313258477,4.287536418773762,-4.688846037069756,1.8126428483340584,15.999917,1.0
21,1843155463845773312,310.8875069294408,23.92298056386824,4.134438716051224,-4.5565970285483175,1.9008999782138072,9.436697,1.0
22,1843155738723703424,310.86424686209176,23.943735316921703,4.533689762134597,-4.791964253888603,1.8160471549653887,15.931211,0.87
23,1842475312823275648,312.02408888475986,23.90948535194041,4.149857795904452,-4.664826359307797,1.811408336795,12.7066965,1.0
24,1843156666436669824,310.8492489691105,23.986956395495717,4.120369922849168,-4.994947502573926,1.8588361754781,10.638125,0.81
25,1842479573430931328,311.893370135591,23.991754875822185,4.150471347016568,-4.67319749346163,1.7522879060633296,15.458976,0.91
26,1843160136770700800,311.1347620523074,24.020605522100134,4.090687912008129,-4.705751058747892,1.8370284211249277,16.309011,1.0
27,1843161369420629248,311.1315063928944,24.068544040405108,4.585098587943426,-4.696661296345933,1.8148977376377533,16.45541,0.9
28,1843418144046450944,310.4853538702177,24.441016087079785,4.274309729192523,-4.628262225515784,1.86540183833728,15.909105,1.0
29,1842482936385937536,311.6547122705376,23.882820210188832,4.262119735715308,-4.570849113167566,1.810155820874733,17.377468,0.82
30,1842482936385939072,311.65999807611644,23.88518529901201,4.121996962898223,-4.771879552964736,1.944457293463671,17.564835,0.65
31,1842482970745658368,311.6968898974952,23.854756349988936,4.400780395274015,-4.765653459509215,1.8743662316164744,13.637851,1.0
32,1843163332228993920,311.16655175999483,24.129956394612584,4.7495038402410055,-4.851085642618153,1.8824313397270764,14.897084,0.88
33,1842483761019675904,311.63750490319995,23.903941263520004,4.532598307132056,-4.773040443269918,1.831002055995899,14.553551,1.0
34,1843163778903436672,311.22816852087925,24.16729539425752,4.337303945379593,-4.652179609861404,1.8948773883932368,14.624742,1.0
35,1842846157478382720,312.9839880037974,24.46528596284748,4.56292622212003,-4.808455536232318,1.8544806158014344,15.920426,0.99
36,1843167008718663808,311.1996179331702,24.20435353560814,4.444858064005796,-4.718876093011848,1.787905191891204,15.1505,0.99
37,1842488025927051008,311.52279193313217,23.95743442697901,4.376979852939989,-4.878380556726938,1.8641301640617491,10.381411,1.0
38,1842488914980580992,311.5799370568279,24.035090029244508,4.420892890082092,-4.684744962322501,1.895564160638236,16.75092,0.96
39,1843173086093880960,310.37998670293365,23.764476201166985,3.896191130647808,-4.7482782842071565,1.850755201337949,17.660177,0.43
40,1843428177090064000,310.54317159947755,24.58044923488716,4.046992627067479,-4.926042106072506,1.8321371345596733,15.797438,0.8
41,1843179378223855360,310.6028173364983,23.935997665137137,4.431870805625497,-4.684783191552103,1.890980988049131,17.460037,0.84
42,1843179786243745152,310.6653389022412,23.91816931781518,4.107181209631213,-4.823909241046412,1.91547546076001,16.049324,0.79
43,1843183948069075840,310.6148843873367,23.991066680202184,4.319823294191296,-4.907766144933796,1.898144616579524,8.45887,0.95
44,1843184218650497664,310.59834743320084,24.00506253221952,4.024747527322216,-4.543483496157707,1.845626149152986,17.253124,0.77
45,1843184669623586432,310.66005997468807,24.060034447676124,4.405433236403917,-4.81297330162123,1.8058242538649651,16.550356,0.96
46,1843186761269026560,310.3044342755323,23.876991707220387,4.39643975902016,-4.564245054891057,1.8150288348344528,13.32745,1.0
47,1842512524419887104,312.41432555193256,24.30587460750056,4.56273389515881,-4.794993104114708,1.894353003954609,14.096848,1.0
48,1843190162883109120,310.3548919958879,24.007414514559844,4.413871190310599,-4.826640346702625,1.7766368449866932,11.618859,1.0
49,1843191369772766848,310.1982574725733,23.96433290261511,4.292201640127169,-4.74000042033871,1.8061045609751465,15.929549,0.99
50,1842520221001422720,312.1068602586819,24.26904621372745,4.3370967522833,-4.795869130074223,1.8754712093214183,10.974373,1.0
51,1843195282486351232,310.4091730108351,24.025748709473397,4.622021219720008,-4.878578749696618,1.833874941891794,16.794336,0.8
52,1843195454284992128,310.4757522496401,24.013980080850168,4.555714795101416,-4.98299982293709,1.8805318773939543,14.34648,1.0
53,1843195935317414912,310.4631514937502,24.076739315992118,4.31339341852733,-4.76436924194157,1.9265918224686265,16.292389,0.93
54,1843449823725338624,310.4120396264554,24.9184321030872,4.131300183960184,-4.849712310154173,1.8502651577800413,16.314323,0.98
55,1843196485074961408,310.36899517671696,24.07321945406929,4.323563615443807,-4.560388606628287,1.8179603461532283,12.991614,1.0
56,1843450854518008704,309.75926786862226,24.38390718670692,4.581560758699457,-4.875900024971364,1.8657518585288813,9.208538,1.0
57,1843198855895594624,310.5122347057425,24.165655517204904,4.227503216507674,-4.684218173036541,1.8530971745959128,16.181038,1.0
58,1843199306872296192,310.34289511838665,24.056302795258503,4.449064604226113,-4.617299984451478,1.8481697244400723,15.696595,1.0
59,1843200097146277376,310.41446675820106,24.14691870134844,4.1055792386065,-4.505106842150555,1.8339044555785036,16.051474,0.98
60,1843201677694601984,310.46485686005417,24.17287816141565,4.417482529647591,-4.868754842986857,1.8287072508397364,12.288115,1.0
61,1843203563180125056,310.4188956559485,24.265625629400187,4.568346886148576,-4.7338799969797085,1.7862676140118905,17.938753,0.5
62,1843204662690952832,310.8258237938894,24.0689856740682,4.209750673679627,-4.868531635894589,1.8528657058921327,16.673075,0.96
63,1843204976228894464,310.7714145547353,24.04975917906289,4.190688273895493,-4.7085641152151,1.8312124763833784,12.827157,1.0
