# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Mon Oct 18 20:43:15 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 9.32000 0.4000000358 2.1185026169    0.400 -1.776  3.5226  4.858    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.210 10.085 11.436 8.944
0.0152 0.01508 9.32000 0.4115837514 2.1341686249    0.411 -1.740  3.5255  4.846    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.120 9.974 11.302 8.842
0.0152 0.01508 9.32000 0.4500000477 2.1822810173    0.450 -1.627  3.5347  4.809    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.74e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.838 9.631 10.889 8.524
0.0152 0.01508 9.32000 0.4778940380 2.2139883041    0.478 -1.539  3.5430  4.780    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.14e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.617 9.357 10.559 8.274
0.0152 0.01508 9.32000 0.5000000000 2.2374541759    0.500 -1.472  3.5493  4.758    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.5e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.451 9.152 10.313 8.087
0.0152 0.01508 9.32000 0.5500000119 2.2836582661    0.550 -1.310  3.5679  4.712    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.65e-15      0.00 7.141e-01 2.708e-01 2.702e-03 7.289e-04 6.611e-03 -1.000 1.503e-02 8.045 8.632 9.675 7.620
0.0152 0.01508 9.32000 0.6000000238 2.3211214542    0.600 -1.147  3.5908  4.678    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.29e-15      0.00 7.149e-01 2.701e-01 2.695e-03 7.272e-04 6.596e-03 -1.000 1.501e-02 7.638 8.094 9.013 7.148
0.0152 0.01508 9.32000 0.6106569767 2.3281996250    0.610 -1.111  3.5968  4.674    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.72e-15      0.00 7.150e-01 2.700e-01 2.694e-03 7.269e-04 6.593e-03 -1.000 1.500e-02 7.548 7.975 8.866 7.045
0.0152 0.01508 9.32000 0.6499999762 2.3520355225    0.650 -0.984  3.6181  4.659    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.56e-15      0.00 7.156e-01 2.694e-01 2.689e-03 7.256e-04 6.582e-03 -1.000 1.500e-02 7.230 7.553 8.351 6.680
0.0152 0.01508 9.32000 0.6703430414 2.3631057739    0.670 -0.919  3.6299  4.655    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.7e-15      0.00 7.159e-01 2.692e-01 2.687e-03 7.250e-04 6.576e-03 -1.000 1.497e-02 7.068 7.334 8.079 6.493
0.0152 0.01508 9.32000 0.7000000477 2.3779268265    0.700 -0.828  3.6465  4.649    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-14      0.00 7.163e-01 2.688e-01 2.684e-03 7.241e-04 6.569e-03 -1.000 1.493e-02 6.839 7.024 7.695 6.233
0.0152 0.01508 9.32000 0.7427676320 2.3969221115    0.743 -0.699  3.6711  4.644    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.39e-14      0.00 7.169e-01 2.682e-01 2.648e-03 7.220e-04 6.557e-03 -1.000 1.487e-02 6.517 6.593 7.168 5.873
0.0152 0.01508 9.32000 0.7500000000 2.3998889923    0.750 -0.678  3.6752  4.644    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.45e-14      0.00 7.169e-01 2.681e-01 2.643e-03 7.218e-04 6.557e-03 -1.000 1.491e-02 6.465 6.525 7.085 5.816
0.0152 0.01508 9.32000 0.7778736353 2.4107327461    0.778 -0.602  3.6869  4.630    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-14      0.00 7.175e-01 2.676e-01 2.638e-03 7.204e-04 6.545e-03 -1.000 1.489e-02 6.274 6.294 6.817 5.615
0.0152 0.01508 9.32000 0.8000000119 2.4187245369    0.800 -0.543  3.6960  4.620    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.97e-14      0.00 7.180e-01 2.671e-01 2.634e-03 7.194e-04 6.536e-03 -1.000 1.489e-02 6.127 6.120 6.615 5.464
0.0152 0.01508 9.32000 0.8006553054 2.4189534187    0.800 -0.541  3.6962  4.620    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-14      0.00 7.180e-01 2.671e-01 2.634e-03 7.193e-04 6.535e-03 -1.000 1.488e-02 6.123 6.115 6.610 5.459
0.0152 0.01508 9.32000 0.8500000238 2.4350347519    0.850 -0.414  3.7155  4.595    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.64e-14      0.00 7.192e-01 2.660e-01 2.624e-03 7.168e-04 6.512e-03 -1.000 1.476e-02 5.804 5.748 6.191 5.139
0.0152 0.01508 9.32000 0.9000000358 2.4492788315    0.899 -0.290  3.7332  4.567    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.53e-14      0.00 7.207e-01 2.646e-01 2.612e-03 7.134e-04 6.482e-03 -1.000 1.474e-02 5.495 5.405 5.807 4.835
0.0152 0.01508 9.32000 0.9323754907 2.4575705528    0.932 -0.212  3.7436  4.546    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.25e-14      0.00 7.220e-01 2.634e-01 2.601e-03 7.107e-04 6.457e-03 -1.000 1.465e-02 5.301 5.196 5.573 4.650
0.0152 0.01508 9.32000 0.9500000477 2.4618122578    0.949 -0.171  3.7491  4.535    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.69e-14      0.00 7.227e-01 2.627e-01 2.596e-03 7.091e-04 6.443e-03 -1.000 1.462e-02 5.197 5.086 5.450 4.554
0.0152 0.01508 9.32000 0.9739307761 2.4672901630    0.974 -0.115  3.7560  4.517    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.38e-14      0.00 7.239e-01 2.615e-01 2.585e-03 7.063e-04 6.419e-03 -1.000 1.457e-02 5.057 4.941 5.288 4.424
0.0152 0.01508 9.32000 1.0000000000 2.4729156494    1.000 -0.055  3.7633  4.498    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.24e-14      0.00 7.254e-01 2.601e-01 2.573e-03 7.031e-04 6.390e-03 -1.000 1.452e-02 4.907 4.786 5.117 4.286
0.0152 0.01508 9.32000 1.0349709988 2.4799525738    1.034  0.025  3.7721  4.468    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.23e-14      0.00 7.282e-01 2.574e-01 2.551e-03 6.970e-04 6.335e-03 -1.000 1.441e-02 4.708 4.582 4.894 4.104
0.0152 0.01508 9.32000 1.0499999523 2.4828116894    1.049  0.058  3.7758  4.456    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -7.7e-14      0.00 7.295e-01 2.562e-01 2.540e-03 6.941e-04 6.309e-03 -1.000 1.435e-02 4.624 4.497 4.800 4.028
0.0152 0.01508 9.32000 1.0613663197 2.4849121571    1.061  0.084  3.7784  4.445    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.07e-14      0.00 7.308e-01 2.549e-01 2.529e-03 6.911e-04 6.282e-03 -1.000 1.428e-02 4.560 4.432 4.730 3.970
0.0152 0.01508 9.32000 1.0936858654 2.4906115532    1.093  0.155  3.7856  4.416    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -9.2e-14      0.00 7.351e-01 2.509e-01 2.494e-03 6.818e-04 6.198e-03 -1.000 1.408e-02 4.382 4.253 4.535 3.808
0.0152 0.01508 9.32000 1.1000000238 2.4916803837    1.099  0.169  3.7869  4.410    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -9.44e-14      0.00 7.359e-01 2.500e-01 2.487e-03 6.798e-04 6.181e-03 -1.000 1.405e-02 4.348 4.219 4.498 3.777
0.0152 0.01508 9.32000 1.1133477688 2.4938933849    1.112  0.198  3.7896  4.397    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -9.94e-14      0.00 7.377e-01 2.483e-01 2.474e-03 6.763e-04 6.150e-03 -1.000 1.399e-02 4.275 4.146 4.420 3.711
0.0152 0.01508 9.32000 1.1412380934 2.4983263016    1.140  0.258  3.7951  4.370    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.11e-13      0.00 7.414e-01 2.448e-01 2.447e-03 6.692e-04 6.087e-03 -1.000 1.381e-02 4.126 3.997 4.259 3.575
0.0152 0.01508 9.32000 1.1499999762 2.4996678829    1.149  0.276  3.7967  4.361    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.15e-13      0.00 7.425e-01 2.437e-01 2.439e-03 6.671e-04 6.068e-03 -1.000 1.376e-02 4.080 3.951 4.210 3.533
0.0152 0.01508 9.32000 1.1724280119 2.5029973984    1.172  0.323  3.8009  4.339    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-13      0.00 7.424e-01 2.438e-01 2.447e-03 6.694e-04 6.089e-03 -1.000 1.382e-02 3.961 3.833 4.083 3.425
0.0152 0.01508 9.32000 1.2000000477 2.5068950653    1.199  0.381  3.8056  4.311    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.37e-13      0.00 7.419e-01 2.442e-01 2.459e-03 6.730e-04 6.123e-03 -1.000 1.394e-02 3.818 3.691 3.932 3.295
0.0152 0.01508 9.32000 1.2269705534 2.5105133057    1.226  0.434  3.8096  4.283    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-13      0.00 7.421e-01 2.440e-01 2.459e-03 6.730e-04 6.124e-03 -1.000 1.393e-02 3.686 3.559 3.792 3.173
0.0152 0.01508 9.32000 1.2500000000 2.5134611130    1.249  0.478  3.8128  4.260    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.61e-13      0.00 7.422e-01 2.439e-01 2.459e-03 6.731e-04 6.125e-03 -1.000 1.391e-02 3.576 3.449 3.676 3.071
0.0152 0.01508 9.32000 1.2999999523 2.5194499493    1.300  0.568  3.8181  4.208    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-13      0.00 7.426e-01 2.435e-01 2.457e-03 6.720e-04 6.124e-03 -1.000 1.389e-02 3.350 3.223 3.440 2.858
0.0152 0.01508 9.32000 1.3255306482 2.5223083496    1.325  0.612  3.8201  4.180    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-13      0.00 7.420e-01 2.440e-01 2.463e-03 6.728e-04 6.143e-03 -1.000 1.396e-02 3.240 3.113 3.326 2.753
0.0152 0.01508 9.32000 1.3500001431 2.5249314308    1.350  0.653  3.8214  4.153    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.04e-13      0.00 7.414e-01 2.446e-01 2.469e-03 6.732e-04 6.164e-03 -1.000 1.404e-02 3.136 3.009 3.220 2.653
0.0152 0.01508 9.32000 1.3774472475 2.5277466774    1.377  0.700  3.8227  4.120    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.14e-13      0.00 7.414e-01 2.446e-01 2.469e-03 6.720e-04 6.165e-03 -1.000 1.402e-02 3.021 2.893 3.102 2.540
0.0152 0.01508 9.32000 1.4000000954 2.5299651623    1.400  0.737  3.8233  4.092    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-13      0.00 7.412e-01 2.447e-01 2.470e-03 6.716e-04 6.166e-03 -1.000 1.404e-02 2.927 2.799 3.006 2.448
0.0152 0.01508 9.32000 1.4327446222 2.5330436230    1.433  0.792  3.8242  4.051    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.33e-13      0.00 7.409e-01 2.451e-01 2.470e-03 6.736e-04 6.156e-03 -1.000 1.403e-02 2.790 2.661 2.866 2.313
0.0152 0.01508 9.32000 1.4500000477 2.5346016884    1.450  0.821  3.8243  4.028    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.39e-13      0.00 7.407e-01 2.453e-01 2.470e-03 6.747e-04 6.151e-03 -1.000 1.403e-02 2.718 2.589 2.793 2.241
0.0152 0.01508 9.32000 1.4720526934 2.5365319252    1.472  0.856  3.8235  3.995    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-13      0.00 7.405e-01 2.455e-01 2.471e-03 6.749e-04 6.149e-03 -1.000 1.397e-02 2.629 2.499 2.705 2.150
0.0152 0.01508 9.32000 1.4941110611 2.5383973122    1.494  0.892  3.8219  3.960    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.46e-13      0.00 7.403e-01 2.457e-01 2.472e-03 6.752e-04 6.150e-03 -1.000 1.396e-02 2.541 2.410 2.618 2.057
0.0152 0.01508 9.32000 1.5000000000 2.5388846397    1.500  0.901  3.8213  3.950    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.47e-13      0.00 7.402e-01 2.458e-01 2.472e-03 6.754e-04 6.150e-03 -1.000 1.396e-02 2.518 2.386 2.595 2.032
